query_label	disposition	disposition_reason	source_gse	discovery_query	passes_filters	filter_reason	title	submission_date	n_samples	organisms	tissue_keywords_found	chemistry_keywords_found	n_unique_tissues	sample_titles	summary	fastq_size_gb_estimated	access_status
A_human_brain	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE290048	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	yes	year=2025, n_samples=14	Generation of human pineal gland organoids with melatonin production for disease modeling	Feb 20 2025	14	Homo sapiens	brain	10X; 10x	0	PGO, 6week | PGO, 18week | Control-1 | Control-2 | Control-3	The pineal gland regulates circadian rhythms through melatonin production, yet human studies are limited by poor tissue access. To overcome this, we developed human pineal gland organoids (hPGOs) from pluripotent stem cells, modeling pineal development and function. Single-cell RNA sequencing revealed distinct mature and developing pinealocyte populations with transcriptomic profiles closely resembling the in vivo pineal gland. hPGOs produce melatonin, express adrenergic receptors, and respond t	TBD (resolve via SRA)	needs_sra_check
A_human_brain	filter_failed	no tissue match for ['brain', 'cortex']	GSE312445	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	no	no tissue match for ['brain', 'cortex']	Single-cell multiomics of neuronal activation reveals context dependent genetic controls of brain disorders	Dec 03 2025	12	Homo sapiens		Chromium	1	WT, unstimulated, contains cell line CW20107 and K | WT, 1 hr post stimulation, contains cell line CW20 | WT, 6 hr post stimulation, contains cell line CW20 | MEF2C, unstimulated, contains cell line CW20107 an | MEF2C, 1 hr post stimulation, contains cell line C	Despite hundreds of genetic risk loci identified for neuropsychiatric disorders (NPD), most causal variants/genes remain unknown. A major hurdle is that disease risk variants may act in specific biological contexts, e.g., during neuronal activation, which is difficult to study in vivo at the population level. Here, we conducted a single-cell multiomics study of neuronal activation (stimulation) in human iPSC-induced excitatory and inhibitory neurons from 100 donors, and uncovered abundant neuron	TBD (resolve via SRA)	needs_sra_check
A_human_brain	filter_failed	no tissue match for ['brain', 'cortex']	GSE248507	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	no	no tissue match for ['brain', 'cortex']	scRNA-SEQ OF MECP2 AND MECP2T203M D30 cerebral organoids.	Nov 22 2023	2	Homo sapiens		10X; 10x; Chromium	0	MECP2 | MECP2T203M	To further systematically probe the contribution of different cell types for brain development in MECP2T203M organoids, we performed scRNA-seq (10X genomics) on day 30 cerebral organoids.	TBD (resolve via SRA)	needs_sra_check
A_human_brain	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE311407	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	yes	year=2025, n_samples=7	Intraspecific sequence variation and complete haplotype-resolved assemblies refine the identification of rapidly evolving regions in humans	Nov 25 2025	7	Escherichia coli;Homo sapiens;Mus musculus	brain; cortex	10X; 10x; Chromium	2	Output mouse allCell_1A | Output mouse allCell_1B | Output mouse  targetEnrich_1A | Output mouse  targetEnrich_1B | Output human cell line scSTARR-seq; scRNA-seq	Humans exhibit significant phenotypic differences from other great apes, yet pinpointing the underlying genetic changes has been limited by incomplete reference genomes and a reliance on a single assembly to represent a species. We aligned 20 telomere-to-telomere (T2T) assemblies spanning great ape evolution and variation to define 1,596 consensus human ancestor quickly evolved regions (Consensus HAQERs), regions that diverged rapidly between the human-chimpanzee ancestor and an ancestral node o	TBD (resolve via SRA)	needs_sra_check
A_human_brain	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE311151	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	yes	year=2025, n_samples=12	Digital twins for in vivo metabolic flux estimations in patients with brain cancer	Nov 24 2025	12	Homo sapiens	brain	10X; 10x; Chromium	1	Patient 1, GBM, Sample 1, Non-Enhancing | Patient 1, GBM, Sample 2, Enhancing | Patient 1, GBM, Sample 3, Enhancing | Patient 2, GBM, Sample 1, Enhancing | Patient 2, GBM, Sample 2, Enhancing	Recent advancements in metabolic flux estimations in vivo are limited to preclinical models, primarily due to challenges in tissue sampling, tumor microenvironment heterogeneity, and non-steady state conditions. To address these limitations and enable flux estimation in human patients, we developed two machine learning-based frameworks. First, the digital twin framework integrates first-principles stoichiometric and isotopic simulations with convolutional neural networks to estimate fluxes in pa	TBD (resolve via SRA)	needs_sra_check
B_human_heart	filter_failed	no tissue match for ['heart', 'cardiac', 'myocardium']	GSE275308	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	no	no tissue match for ['heart', 'cardiac', 'myocardium']	Single cell RNA sequencing (scRNA-seq) of embryonic zebrafish and human aortic endothelial cells following flow modulation	Aug 20 2024	9	Danio rerio;Homo sapiens		10X; 10x	2	HAEC high flow | HAEC reduced flow | HAEC static flow | Zebrafish ldlr-/- flow | Zebrafish ldlr-/- reduced flow	The earliest vascular manifestations during atherosclerosis development are incompletely understood. We utilize low density lipoprotein receptor knockout (ldlr-/-) zebrafish and human aortic endothelial cells (HAECs) to discern developmental and flow-dependent features underlying atherosclerosis. ScRNA-seq was used to analyze the transcripitional heterogeneity of endothelial cells from embryonic ldlr-/- zebrafish and HAECs following flow modulation.	TBD (resolve via SRA)	needs_sra_check
B_human_heart	filter_failed	no tissue match for ['heart', 'cardiac', 'myocardium']	GSE315443	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	no	no tissue match for ['heart', 'cardiac', 'myocardium']	MBNL2 dysfunction in outer radial glial cells is associated with disrupted corticogenesis in congenital myotonic dystrophy [scRNA-Seq]	Jan 02 2026	3	Homo sapiens		10X; 10x; Chromium	1	80-day-old forebrain organoids, unaffected control | 80-day-old forebrain organoids, congenital myotoni | 80-day-old forebrain organoids, isogenic control	The loss of Muscleblind-like (MBNL) protein function, resulting from its sequestration by toxic CUG-expanded DMPK transcripts, is a central pathological mechanism in myotonic dystrophy type 1 (DM1). However, the role of MBNL in neurodevelopmental disorders associated with severe forms of DM1 remains poorly understood. We performed single-cell RNA sequencing using the 10x Genomics Chromium platform to investigate the cellular composition and transcriptomic alterations in forebrain organoids deriv	TBD (resolve via SRA)	needs_sra_check
B_human_heart	filter_failed	no tissue match for ['heart', 'cardiac', 'myocardium']	GSE291890	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	no	no tissue match for ['heart', 'cardiac', 'myocardium']	Single-Cell RNA Sequencing Unveils Macrophage Involvement in Aortic Valve Stenosis Progression	Mar 13 2025	33	Homo sapiens		10X; 10x	1	AR1LRN (3') | AR2LNR (3') | AR3L (3') | AR3N (3') | AR4L (3')	Introduction: Calcific aortic stenosis (AS) is an age-related progressive disease with increasing global prevalence. Although chronic inflammation is a key factor in its pathogenesis, the detailed immune cell profiles and their interactions with non-immune cells remain poorly understood. This study aimed to characterize the immune cell landscape in calcific AS at a single-cell level and evaluate the potential of anti-inflammatory therapy. Methods: Human aortic valve samples were obtained from fo	TBD (resolve via SRA)	needs_sra_check
B_human_heart	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE315240	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	yes	year=2025, n_samples=9	Modeling early human heart development using an iPSC-based 3D bioprinted model of embryonic heart tube	Dec 30 2025	9	Homo sapiens	cardiac	10X; 10x; Chromium	2	2D CM | 2D EC | SC-1 | SC-2 | SC-3	Human heart development is a precisely coordinated process involving dynamic transcriptional and morphological changes. Due to limited access to the developing human heart in utero and lack of accurate experimental models, the cell-microenvironmental interactions underlying human heart development remain elusive. Advances in 3D bioprinting and stem cell technologies have enabled the fabrication of in vitro analogues of cardiac tissues with complex structures, while incorporating cell intrinsic (	TBD (resolve via SRA)	needs_sra_check
B_human_heart	filter_failed	no tissue match for ['heart', 'cardiac', 'myocardium']	GSE264319	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	no	no tissue match for ['heart', 'cardiac', 'myocardium']	Profiling Immune-Independent Response to Immune Checkpoint Inhibitors on Stem Cell-derived Cardiac Organoids [scRNA-seq]	Apr 18 2024	3	Homo sapiens		10X; 10x	0	COs, Control | COs, PD1/PEM | COs, PDL1/ATZ	The use of antibody based immune-checkpoint inhibitors (ICIs) have been highly successful in clinical treatment of several cancers. Despite the compelling efficacy of these drugs with their high binding affinity, there is incomplete understanding of non-target interactions in vivo. In this regard, ICIs are also known to cause immune-related adverse events (iRAEs) arising from infiltration of immune cells in tissues such as the heart. Due to the frequency of ICI treatments, extended half-life and	TBD (resolve via SRA)	needs_sra_check
B_human_heart	filter_failed	no tissue match for ['heart', 'cardiac', 'myocardium']	GSE315814	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	no	no tissue match for ['heart', 'cardiac', 'myocardium']	Essential role of NONO-HOXA1-Wnt axis in cardiomyocyte differentiation [scRNA-seq]	Jan 07 2026	18	Homo sapiens		10X; 10x; Chromium	0	Day2_WT_1 | Day2_WT_2 | Day2_WT_3 | Day2_KO_1 | Day2_KO_2	NONO is recognized as a critical molecular scaffold involved in both transcriptional and posttranscriptional regulation. Mutations in NONO are frequently linked to congenital heart diseases (CHDs) in humans. However, the mechanisms by which NONO regulates cardiac development remain elusive. Here, we identified NONO as a pivotal dual-function regulator of cardiomyocyte differentiation in human induced pluripotent stem cells (hiPSCs). NONO deficiency in hiPSCs results in a distinct defect in early	TBD (resolve via SRA)	needs_sra_check
B_human_heart	filter_failed	no tissue match for ['heart', 'cardiac', 'myocardium']	GSE302126	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	no	no tissue match for ['heart', 'cardiac', 'myocardium']	An inflammatory and quiescent HSC subpopulation expands with age in humans	Jul 09 2025	17	Homo sapiens		10X; 10x	2	Technical replicate 1 of sample BM1 | Technical replicate 2 of sample BM1 | Technical replicate 3 of sample BM1 | Technical replicate 1 of sample BM2 | Technical replicate 2 of sample BM2	Aging of the blood system impacts systemic health and can be traced to hematopoietic stem cells (HSCs). Despite multiple reports on human HSC aging, a unified map detailing their molecular age-related changes is lacking. We developed a consensus map of gene expression in HSCs by integrating seven single-cell datasets. This map reveals previously unappreciated heterogeneity within the HSC population. It also links inflammatory pathway activation (TNF/NFκB, AP-1) and quiescence within a single gen	TBD (resolve via SRA)	needs_sra_check
B_human_heart	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE311407	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	yes	year=2025, n_samples=7	Intraspecific sequence variation and complete haplotype-resolved assemblies refine the identification of rapidly evolving regions in humans	Nov 25 2025	7	Escherichia coli;Homo sapiens;Mus musculus	heart	10X; 10x; Chromium	2	Output mouse allCell_1A | Output mouse allCell_1B | Output mouse  targetEnrich_1A | Output mouse  targetEnrich_1B | Output human cell line scSTARR-seq; scRNA-seq	Humans exhibit significant phenotypic differences from other great apes, yet pinpointing the underlying genetic changes has been limited by incomplete reference genomes and a reliance on a single assembly to represent a species. We aligned 20 telomere-to-telomere (T2T) assemblies spanning great ape evolution and variation to define 1,596 consensus human ancestor quickly evolved regions (Consensus HAQERs), regions that diverged rapidly between the human-chimpanzee ancestor and an ancestral node o	TBD (resolve via SRA)	needs_sra_check
B_human_heart	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE278153	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	yes	year=2024, n_samples=14	Multi-lineage cardiac model recapitulates human cardiogenesis and heart defects	Sep 26 2024	14	Homo sapiens	cardiac	10X; 10x; Chromium	0	hPSC-derived 2D cardiac model, D0,replicate1,scRNA | hPSC-derived 2D cardiac model, D0,replicate2,scRNA | hPSC-derived 2D cardiac model, D2,replicate1,scRNA | hPSC-derived 2D cardiac model, D2,replicate2,scRNA | hPSC-derived 2D cardiac model, D4,replicate1,scRNA	Congenital heart defects constitute the leading cause of human fetal death, however the underlying mechanisms of most cardiac defects remain unknown. The ability to generate in vitro cardiac models mimicking significant aspects of native heart development is a prerequisite for disease modeling. Here, we established a 2D cardiac platform that equivalent of human fetal heart with pluripotent stem cells (hPSCs). Through the precise manipulation of retinoic acid (RA) signaling, we recapitulated the 	TBD (resolve via SRA)	needs_sra_check
B_human_heart	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE306773	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	yes	year=2025, n_samples=29	Myocardial Reprogramming by HMGN1 Underlies Heart Defects in Trisomy 21 [scRNA-seq]	Aug 28 2025	29	Homo sapiens;Mus musculus	cardiac	10X; 10x; Chromium	1	scRNA_E115_wt_rep1 | scRNA_E115_wt_rep2 | scRNA_E115_het_rep1 | scRNA_E115_het_rep2 | scRNA_E115_tg_rep1	Congenital heart defects (CHD) are the most common form of developmental abnormalities, occurring in ~1% of live births, and can arise due to altered dosage of genes essential for cardiogenesis. Aneuploidy accounts for nearly 15% of CHD and the most frequent form involves trisomy of chromosome 21 (Ch21), resulting in Down Syndrome (DS). Here we used single cell RNA-seq, CRISPR-activation with single cell RNA-seq, single cell ATAC-seq and Cut&Tag epigenomic profiling to define the molecular disru	TBD (resolve via SRA)	needs_sra_check
B_human_heart	filter_failed	chemistry keywords ['10X', '10x', 'Chromium'] not in extract_protocol	GSE271444	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	no	chemistry keywords ['10X', '10x', 'Chromium'] not in extract_protocol	A CRISPR-Activation CROP-seq Screen Identifies HMGN1 as a Dosage Sensitive Regulator of Heart Defects in Down Syndrome (scRNA-Seq)	Jul 03 2024	49	Homo sapiens	cardiac		2	Disomic Day 10 hiPSC-CM, Replicate 1, scRNAseq | Disomic Day 10 hiPSC-CM, Replicate 2, scRNAseq | Trisomic Day 10 hiPSC-CM, Replicate 1, scRNAseq | Trisomic Day 10 hiPSC-CM, Replicate 2, scRNAseq | Disomic Day 20 hiPSC-CM, Replicate 1, scRNAseq	Congenital heart defects (CHD) are the most common form of developmental abnormalities, occurring in ~1% of live births, and can arise due to altered dosage of genes essential for cardiogenesis. Aneuploidy accounts for nearly 15% of CHD and the most frequent form involves trisomy of chromosome 21 (Ch21), resulting in Down Syndrome (DS). Here we used single cell RNA-seq, CRISPR-activation with single cell RNA-seq, single cell ATAC-seq and Cut&Tag epigenomic profiling to define the molecular disru	TBD (resolve via SRA)	needs_sra_check
B_human_heart	rejected_after_deepdive	multiplexed/hashed data — requires demultiplexing step our 4 tool configs don't naively handle	GSE304525	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	yes	year=2025, n_samples=4	Conserved facultative heterochromatin across cell types identify regulatory sequences underpinning cell identity and disease	Aug 05 2025	4	Homo sapiens	heart	10X; 10x; Chromium	1	WTC CRISPRi (Control), Day 6, No Xav differentiati | RP11-175E9.1-g1 CRISPRi WTC (NKX2-6-AS1 K/D), Day  | WTC CRISPRi (Control), Day 6, No Xav differentiati | RP11-175E9.1-g1 CRISPRi WTC (NKX2-6-AS1 K/D), Day 	Cellular diversity is a product of evolution acting to establish divergent regulatory programs from a common genome. Here, we use cross-cell-type epigenetic conservation to gain insight into the impact of selective constraints on genome function and phenotypic variation. By comparing chromatin accessibility across hundreds of diverse cell-types, we identify 1.4% of the human genome safeguarded by conserved domains of facultative heterochromatin, which we term regions under “cellular constraint”.	TBD (resolve via SRA)	needs_sra_check
B_human_heart	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE299172	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	yes	year=2025, n_samples=4	Hypoimmunogenic hPSC-derived cardiac organoids for immune evasion and heart repair [scRNA-seq]	Jun 06 2025	4	Homo sapiens	cardiac	10X; 10x; Chromium	1	3-cell-type organoid, rep 1 | 3-cell-type organoid, rep 2 | 4-cell-type organoid, rep 1 | 4-cell-type organoid, rep 2	Human pluripotent stem cell (hPSC)-derived cardiac therapies hold great promise for heart  41 regeneration but face major translational barriers due to allogeneic immune rejection. Here, we  42 engineered hypoimmunogenic hPSCs using a two-step CRISPR-Cas9 strategy: (1) B2M  43 knockout, eliminating HLA class I surface expression, and (2) knock-in of HLA-E or HLA-G trimer  44 constructs in the AAVS1 safe harbor locus to confer robust immune evasion. Hypoimmunogenic  45 hPSCs maintained pluripoten	TBD (resolve via SRA)	needs_sra_check
B_human_heart	filter_failed	no tissue match for ['heart', 'cardiac', 'myocardium']	GSE289789	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	no	no tissue match for ['heart', 'cardiac', 'myocardium']	Serine synthesis pathway regulates cardiac differentiation from human pluripotent stem cells [scRNA-seq]	Feb 17 2025	7	Homo sapiens		Chromium	0	Day 1 | Day 3 control | Day 3 NCT-503 | Day 5 control | Day 5 NCT-503	Human induced pluripotent stem cells (hiPSCs) hold significant potential for advancing our understanding of heart development. Differentiating hiPSCs into cardiac cells allows for modeling early cardiac developmental processes and exploring key signaling pathways. However, variations in differentiation efficiency and poor reproducibility of hiPSC-derived cardiomyocytes (hiPSC-CMs) production have remained a challenge. Here, we report a unique metabolic method to promote hiPSC-CM differentiation 	TBD (resolve via SRA)	needs_sra_check
B_human_heart	filter_failed	no tissue match for ['heart', 'cardiac', 'myocardium']	GSE290946	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (heart OR cardiac) NOT PBMC"	no	no tissue match for ['heart', 'cardiac', 'myocardium']	Microvascular endothelial cells license APS vasculopathy through YAP1- and CCN2-mediated signaling	Mar 03 2025	7	Homo sapiens		10X; 10x; Chromium	1	Skin, Healthy Control_1 | Skin, Healthy Control_2 | Skin, Healthy Control_3 | Skin, Healthy Control_4 | Skin, APS_1	Antiphospholipid syndrome (APS)-associated vasculopathy is heralded by abnormal proliferation of endothelial and smooth muscle cells, leading to small blood vessel occlusion in the skin, kidneys, and heart, amongst other organs. The underlying mechanisms remain unclear, and targeted treatment options for patients with APS are lacking. To identify and analyze APS microvascular endothelial cells (MVECs), skin biopsies of patients with APS complicated by livedo racemosa were characterized using sin	TBD (resolve via SRA)	needs_sra_check
